닭백숙,191,2,7Ez066LV76U,닭 1마리 대파 2뿌리 부추 1줌 마늘 10개 생강 1톨 양파 2개 물 3L 소금 후추,닭,50,대파,15,부추,5,마늘,10,생강,5,양파,15,소금,0,후추,0,!EOL,,
김치밥,127,1,R6IT_f0XPT8,식용유 1큰술(12ml) 김치 1/3컵(80g) 대파 1/2컵(15g) 고운고춧가루 1큰술(5g) 진간장 1큰술(10ml) 황설탕 1작은술(3g) 밥 1공기(200g) 김가루 1/2컵(3g) 모짜렐라 1/2컵(50g) 옥수수콘 1/2컵(30g) 깨 1꼬집(1g) ,김치,40,대파,15,밥,30,김가루,5,모짜렐라,5,옥수수콘,5,고춧가루,0,간장,0,설탕,0,!EOL
꽈리고추 삼겹살 볶음,127,2,MqdncXPR0lY,꽈리고추 150g (20개) 삼겹살 600g 대파 30g (2/3컵) 청양고추 30g (3개) 간마늘 30g (2큰술) 황설탕 30g (3큰술) 진간장 60ml (1/3컵),꽈리고추,25,삼겹살,50,대파,10,고추,10,마늘,5,설탕,0,간장,0,!EOL,,,,
배추전,127,1,tHkbJgBUaiI,알배기 배추 4장(150g) 꽃소금 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,배추,45,달걀,25,밀가루,30,소금,0,식용유,0,!EOL,,,,,,,,
애호박전,127,1,tHkbJgBUaiI,애호박 1/2개(160g) 꽃소금 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,애호박,45,달걀,25,밀가루,30,소금,0,식용유,0,!EOL,,,,,,,,
버섯전,127,1,tHkbJgBUaiI,팽이버섯 1개(150g) 느타리버섯 3컵(200g) 새송이버섯 2개(200g) 꽃소금 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,팽이버섯,25,느타리버섯,10,새송이버섯,10,달걀,25,밀가루,30,소금,0,식용유,0,!EOL,,,,
동태전,127,1,tHkbJgBUaiI,동태포 2컵(200g) 꽃소금 적당량 후추 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,동태,45,달걀,25,밀가루,30,소금,0,후추,0,식용유,0,!EOL,,,,,,
육전,127,1,tHkbJgBUaiI,소고기(불고기용) 2장(200g) 꽃소금 적당량 후추 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,소고기,45,달걀,25,밀가루,30,소금,0,후추,0,식용유,0,!EOL,,,,,,
새우전,127,1,tHkbJgBUaiI,자숙 새우 1.5컵(200g) 꽃소금 적당량 달걀물 적당량 밀가루 적당량 식용유 적당량,새우,45,달걀,25,밀가루,30,소금,0,식용유,0,!EOL,,,,,,,,
치즈토스트,127,1,fD4wD3GTJq4,식빵 1장 체더슬라이스치즈 2장 딸기잼 적당량,식빵,50,체더치즈,30,딸기잼,20,!EOL,,,,,,,,,,,,
사과조림,191,2,1vfJqpklDSI,사과 4개(1kg) 물 2컵(400g) 레몬쥬스 1/2컵(75g) 황설탕 1과3/4컵(300g) 시나몬 가루 1/2큰술(3g) ,사과,65,시나몬가루,15,레몬주스,20,설탕,0,물,0,!EOL,,,,,,,,
무생채,255,1,dXN1dlsYdJI,무 1/2개(700g) 고운고춧가루 1/4컵(20g) 황설탕 2큰술(20g) 간마늘 1큰술(20g) 식초 1/4컵(40g) 꽃소금 2큰술(20g) 대파 1컵(80g) 깨소금 1큰술(5g),무,60,대파,15,마늘,15,식초,10,소금,0,고춧가루,0,설탕,0,!EOL,,,,
달걀볶음밥,127,1,kR77WlHRZrs,밥 1공기(200g) 대파 1/2컵(40g) 달걀 2개(120g) 식용유 4큰술(40g) 진간장 1/2큰술(5g) MSG 1/4큰술(2g) 맛소금 1g,밥,30,대파,20,달걀,45,MSG,5,식용유,0,간장,0,소금,0,!EOL,,,,
김밥,127,1,10fl2mebYHs,김 1장 김밥용 밥 150g 시금치 2줄 당근채 적당량 달걀지단 1줄 게맛살 1줄 우엉조림 1줄 단무지 1줄 참기름 적당량,김,20,밥,20,시금치,5,당근,10,달걀,10,게맛살,10,우엉,10,단무지,10,참기름,5,!EOL
된장찌개,191,1,KoBx7EEBohM,된장 1큰술(20g) 물 2와1/2컵(475g) 양파 1/2개(100g) 애호박 1/2개(150g) 청양고추 3개(20g) 대파 1과1/2컵(120g) 두부 1/2모(100g) 간마늘 1/2큰술,된장,40,양파,15,애호박,5,고추,5,대파,10,두부,20,간마늘,5,!EOL,,,,
파무침,255,1,KoBx7EEBohM,고추장 2큰술(40g) 설탕 1큰술(10g) 식초 1큰술(10g) 맛술 1큰술(10g) 참기름 적당량 고운고춧가루 1/2큰술(2g) 파채 적당량,고추장,20,파,50,식초,10,맛술,10,참기름,10,고춧가루,0,설탕,0,!EOL,,,,
치킨,191,3,2HZO-YNHFPk,토막닭(7호) 1마리 우유 1컵(190g) 튀김가루(반죽물용) 1컵(120g) 튀김가루 1컵(120g) 맛소금 1/2큰술(5g) 후추 1/3큰술(1g) 식용유 1.8L,닭,60,우유,10,튀김가루,30,소금,0,후추,0,식용유,0,!EOL,,,,,,
감자스프,191,1,j0-_vTbLALM,버터 1과1/2큰술(15g) 양파 1/2개(85g) 우유 2컵(360g) 감자 1개(200g) 소금 1/2큰술(5g) 설탕 1/2큰술(5g) 물 1L 파슬리 적당량 후추 적당량,버터,10,양파,15,우유,30,감자,40,파슬리,5,소금,0,설탕,0,후추,0,!EOL,,
홍합탕,191,1,t63aSsdvZKs,홍합 700g 양파 1개(150g) 대파 1대(70g) 청양고추 3개(18g) 홍고추 1개(10g) 풋고추 1개(15g) 물 1.5L 소금 1큰술(10g) 식초 2큰술(20g),홍합,50,양파,10,대파,10,고추,20,식초,10,소금,0,!EOL,,,,,,
시금치 무침,191,1,tD8ApzPsDx8,시금치 250g 물 1L 꽃소금 1/2큰술(5g) 간 마늘 1큰술(15g) 조선간장국간장 2큰술(20g) 참기름 2큰술(15g) 깨소금 2큰술(16g),시금치,70,참기름,5,마늘,25,간장,0,소금,0,!EOL,,,,,,,,
LA갈비,127,2,37-BCf85bHk,LA갈비 1kg 진간장 1컵(200g) 황설탕 1/2컵(80g) 맛술 1/2컵(100g) 간마늘 1/4컵(40g) 간생강 1/2큰술(8g) 대파 1컵(80g) 참기름 2큰술(15g) 정수물 3컵(540g) 후춧가루 적당량,LA갈비,45,대파,15,참기름,5,맛술,10,마늘,15,생강,10,간장,0,설탕,0,후추,0,!EOL
도라지 나물,127,1,2vrJR3ZpRf0,도라지 250g 대파 1/2컵(40g) 간 마늘 1큰술(15g) 참기름 3큰술(22g) 꽃소금 1/2큰술(5g) 꽃소금(소금물용) 1과1/2큰술(15g) 물(소금물용) 3컵(540g) 깨소금 2큰술(16g) 쌀뜨물 2/3컵(120g),도라지,55,대파,15,마늘,15,참기름,5,쌀뜨물,10,소금,0,!EOL,,,,,,
고사리 나물,127,1,JmiW-dD1RqM,불린고사리 250g 대파 1/2컵(40g) 들기름 3큰술(20g) 간마늘 1큰술(15g) 국간장 2큰술(20g) 황설탕 1/2큰술(5g) 꽃소금 1/4큰술(2g) 갈은 깨 1큰술(8g) 쌀뜨물 1컵(180g) 깨소금 적당량,고사리,50,대파,15,들기름,10,마늘,15,깨,5,쌀뜨물,5,설탕,0,소금,0,간장,0,!EOL
떡볶이,191,1,t4Es8mwdYlE,쌀떡 4컵(400g) 밀가루떡 4컵(400g) 사각어묵 4장(160g) 양배추 2컵(160g) 대파 3컵(240g) 물 1L 삶은달걀 3개 고추장 1/3컵(80g) 진간장 1/3컵(50g) 고운고춧가루 1/3컵(30g) 굵은고춧가루 1/3컵(20g) 황설탕 1/3컵(70g) MSG 1/2큰술(5g),떡,40,어묵,15,양배추,5,대파,10,달걀,10,고추장,20,간장,0,고추가루,0,설탕,0,!EOL
당근팥죽,191,2,7ThPQ-Wiw0Q,당근 400g 물 1.2L 습식쌀가루 2/3컵(70g) 물(쌀가루) 1/3컵(70g) 꽃소금 적당량 통단팥 적당량,당근,40,쌀가루,20,단팥,40,소금,0,!EOL,,,,,,,,,,
밤 라면,189,1,HIz6eyE80V4,깐 밤 1/2컵 (50g) 물 1/4컵 (50g) 물 2와1/2컵(450g) 라면 1개 간 돼지고기 1/4컵(40g) 달걀 1개 양파 1/4개(50g) 대파 1/4컵(20g) 식용유 2큰술(14g) 진간장 1큰술(10g) 참기름 1큰술(7g),밤,25,라면,25,돼지고기,15,달걀,15,양파,5,대파,10,참기름,5,간장,0,식용유,0,!EOL
밤죽,189,1,hEBT2uGjy6o,생밤(밤물) 3컵(300g) 생밤 적당량 물 4와1/2컵(800ml) 쌀가루 4큰술(30g) 물(쌀가루용) 1/6컵(30g) 꽃소금 적당량,밤,70,쌀가루,30,소금,0,!EOL,,,,,,,,,,,,
구운달걀 카레덮밥,127,1,NNZ5jI_RQjI,삶은 달걀 적당량 식용유 5큰술(35g) 양파 1개(200g) 만능양파 1/2큰술(8g) 물 3컵(540g) 카레가루1봉지(100g) 고운고춧가루 1큰술(5g) 큐민가루 1큰술(5g) 후춧가루 적당량 파슬리가루 적당량,달걀,40,파슬리,5,양파,15,큐민,5,카레가루,35,고춧가루,0,식용유,0,후추,0,물,0,!EOL
꿔바로우,127,2,3OwIXlvjjyk,"식용유(튀김용) 1.8L 돈등심 500g 감자전분 2컵(240g) 물 1컵과2큰술(200g) 달걀물 2큰술(20g) 맛소금 적당량 후춧가루 적당량 식용유 2큰술(14g)
간생강 1/2큰술(8g) 진간장 2큰술(20g) 설탕 5큰술(50g) 식초 5큰술(50g) 물 4큰술(40g) 대파 적당량 당근 적당량 레몬 적당량",레몬,5,돼지고기,50,감자전분,5,달걀,15,식초,10,대파,15,식용유,0,설탕,0,간장,0,!EOL
된장찌개2,191,1,ffuakdFmuh4,된장 1/3컵(60g) 물 약4컵(750mL) 간마늘 1/2큰술(8g) 육수용멸치 10마리(20g) 애호박 1/2개(130g) 양파 1/2개(80g) 느타리버섯 1컵(80g) 대파 2/3컵(60g) 청양고추 2개(14g) 홍고추 1/2개(7g) 두부 1/2모(180g),된장,40,마늘,5,멸치,5,양파,10,느타리버섯,10,대파,10,고추,5,홍고추,5,두부,10,!EOL
달래간장 밥,127,1,FnihBW52Ux8,간돼지고기2/3컵(100g) 진간장1/2컵(100g) 황설탕1과1/2큰술(15g) 간마늘1큰술(15g) 굵은고춧가루1/2큰술(3g) 고운고춧가루1/2큰술(3g) 청양고추 1개(7g) 깨소금½큰술(5g) 참기름1큰술(7g) 달래1컵(50g) 쌀 2컵(360g) 물 2컵(360g) 콩나물 100g,돼지고기,30,쌀,10,콩나물,15,마늘,10,달래,30,참기름,5,간장,0,설탕,0,고춧가루,0,!EOL
볶음우동,127,1,zRg4nxIv3j8,진간장 2큰술(20g) 식초 2/3큰술(7g) 황설탕 1큰술(10g) 물 ½컵(90g) 식용유 3큰술(20g) 양배추 ½컵(40g) 양파 1/4개(40g) 당근 20g 돼지고기(등심) 50g 대파 30g 우동면 1개(200g) 훈연멸치가루 적당량 쪽파 적당량 마요네즈 적당량,우동면,30,식초,10,양배추,10,양파,10,당근,10,돼지고기,30,간장,0,설탕,0,식용유,0,!EOL
닭다리살 대파무침,127,2,_l_cJyxNkhc,굵은고춧가루 3큰술(15g) 식용유 1/3컵(60g) 대파 1/4컵(20g) 참기름 1큰술(7g) 마요네즈 3큰술(45g) 식초 1큰술(10g) 황설탕 1과1/2큰술(15g) 꽃소금 한꼬집 간마늘 1큰술(15g) 고추냉이 2/3큰술(10g) 닭다리살 1개 후춧가루(밑간용) 적당량 맛소금(밑간용) 적당량 양파 20g 파채 100g,양파,15,파채,15,마요네즈,10,고추냉이,10,닭다리살,50,후추,0,고춧가루,0,식용유,0,설탕,0,!EOL
진미채볶음,127,1,xecKUiZBCtM,오징어채 200g 고추장 1/3컵(66g) 고운고춧가루 1/4컵(18g) 참기름 3큰술(24g) 물엿 1/3컵(60g) 황설탕 1/4컵(28g) 물 1/6컵(35g) 마요네즈 1/3컵(50g) 통깨 3g,오징어채,50,고추장,20,마요네즈,10,참기름,5,물엿,10,통깨,5,물,0,설탕,0,고춧가루,0,!EOL
닭똥집볶음,127,1,IasQ3XURCTI,닭근위 1컵(180g) 마늘 2/3컵(60g) 식용유 1컵(120g) 맛소금 적당량 후추 적당량 참기름 ½큰술(3g,닭근위,65,마늘,30,참기름,5,식용유,0,소금,0,후추,0,!EOL,,,,,,
바지락볶음,127,2,4TnaTTg1R_Q,바지락 500g 사천고추 적당량 대파 ½컵(40g) 마늘 4개(30g) 식용유 1/3컵(40g) 청주 1컵(180g) 황설탕 1/3큰술(3g) 식초 2큰술(20g) 진간장 적당량,바지락,45,고추,15,대파,15,마늘,10,식초,10,청주,5,설탕,0,식용유,0,간장,0,!EOL
돼지고기 김치찜,191,1,RVfSeUZ8XkY,돼지고기전지 1kg 신김치 1.3kg 양파 1/2개(100g) 대파 1컵(80g) 청양고추 3개(20g) 황설탕 3큰술(30g) 국간장 2큰술(20g) 된장 1큰술(15g) 간마늘 1큰술(15g) 굵은고춧가루 2큰술(10g) 물 6컵(1.2L),돼지고기,30,신김치,25,양파,10,대파,15,고추,5,된장,10,마늘,5,설탕,0,간장,0,!EOL
소고기미역국,191,1,81gLJ5kRu4Y,소고기(양지) 1/2컵(100g) 자른미역 1/3컵(10g) 참기름 2큰술(14g) 국간장 3큰술(30g) 물 약7컵(1.3L) 다진마늘 2/3큰술(10g) 멸치액젓 1과1/2큰술(15g),소고기,40,미역,40,참기름,5,간장,5,멸치액젓,5,마늘,5,물,0,!EOL,,,,
고기 싸먹는 시금치무침,191,1,81gLJ5kRu4Y,시금치 200g 청양고추 3개(20g) 굵은고춧가루 1/2큰술(3g) 마늘 3개(20g) 참기름 2큰술(14g) 깨소금 1큰술(5g) 맛소금 1과1/2큰술(7g) 후춧가루 적당량,시금치,55,고추,25,마늘,15,참기름,5,고춧가루,0,소금,0,후추,0,!EOL,,,,
김치볶음밥,127,1,eIo2BaE6LxI,김치 1컵(160g) 소시지 2개(65g) 대파 1/2컵(40g) 식용유 3큰술(20g) 진간장 1/2큰술(5g) 고운고춧가루 1/3큰술(3g) 설탕 1/3큰술(3g) 즉석밥 1개 달걀 1개 김가루 적당량 깨소금 적당량,김치,40,소시지,15,대파,15,밥,20,달걀,10,식용유,0,간장,0,고춧가루,0,설탕,0,!EOL
시금치 고기덮밥,127,1,XU5Jv4e7DKw,시금치 150g 간돼지고기 1과2/3컵(250g) 식용유 ½컵(70g) 청양고추 4개(30g) 홍고추 1개(15g) 마늘 4알(25g) 설탕 1과1/2큰술(15g) 굴 소스 1큰술 (10g) 멸치 액젓 1큰술(10g) 진간장 1/2큰술(5g) 노두유 1큰술(10g) 달걀 1개 밥 1공기(200g),시금치,25,돼지고기,30,마늘,5,굴소스,5,노두유,5,달걀,10,밥,20,식용유,0,간장,0,!EOL
바지락라면,191,1,bLprteo75gY,바지락 100g 라면 1봉지 달걀 1개 대파 ¼컵(20g) 건미역 1큰술(1g) 청양고추 2개(14g) 물 3과1/3컵(600g) 멸치액젓 1/2큰술(5g) 굵은고춧가루 1/3큰술(2g) 된장 1/3큰술(5g),바지락,30,라면,30,달걀,10,대파,10,미역,5,고추장,5,멸치액젓,5,된장,5,고춧가루,0,!EOL
부추전,127,1,wfm951HEpGU,부추 200g 당근 1/6개(50g) 청양고추 4개(24g) 부침가루 1과1/2컵(150g) 물 1과1/2컵(250g) 멸치액젓 1큰술(10g) 건새우 1/2컵(20g) 식용유 3큰술(20g) 간마늘 1큰술(15g) 진간장 1큰술(10g) 식초 1큰술(10g) 황설탕 1/2큰술(5g),부추,35,당근,10,고추,10,부침가루,25,멸치액젓,5,새우,10,마늘,5,식용유,0,간장,0,!EOL
와인 홍합탕,127,1,8l9H8FlhiOo,홍합 500g 완숙 토마토 2개(300g) 양파 1/4개(50g) 마늘 5알(20g) 식용유 1/3컵(40g) 화이트 와인 4/5컵(150g) 물 4/5컵(150g) 버터 1/3개(25g) 맛소금 적당량,홍합,40,토마토,15,양파,5,마늘,10,버터,10,화이트와인,20,식용유,0,소금,0,!EOL,,
시금치베이컨볶음,127,1,JV5pUbCiy1s,시금치 300g 베이컨 90g 마늘 3개(15g) 식용유 3큰술(20g) 맛소금 적당량,시금치,45,베이컨,45,마늘,10,식용유,0,소금,0,!EOL,,,,,,,,
토마토 달걀 볶음,127,1,pTvMsM2v1tg,토마토 250g 달걀 4개 식용유(스크램블용) 1/4컵(30g) 대파 1/2컵 (40g) 식용유(파 기름용) 1/4컵(30g) 진간장 1큰술(10g) 굴소스 1큰술(10g) 꽃소금 적당량 후춧가루 적당량 참기름 1/2큰술(3g),토마토,40,달걀,40,참기름,5,대파,10,굴소스,5,식용유,0,소금,0,후추,0,간장,0,!EOL
홍합라면,191,1,wDVYtePSF_Q,홍합 300g 물 3컵(540ml) (순한) 라면 1봉지 달걀 1개 된장 1/2큰술(8g) 대파 1/2컵(30g) 청양고추 2개(15g),홍합,40,고추,5,라면,30,달걀,5,된장,10,대파,10,물,0,!EOL,,,,
청양고추마요소스,255,1,FQPtD59Imqo,마요네즈 2/3컵(140g) 설탕 1큰술(10g) 식초 2큰술(20g) 청양고추 3개(20g) 진간장 1큰술(10g) 고추냉이1/2큰술(7g) 쪽파 적당량,마요네즈,35,고추냉이,10,식초,15,고추,30,쪽파,10,설탕,0,간장,0,!EOL,,,,
라면땅,223,1,lqCzPHUu-3E,라면 1개 초고추장 적당량 설탕 적당량,라면,55,초고추장,45,설탕,0,!EOL,,,,,,,,,,,,
알새우칩 카나페,255,1,Xhv99PA2OEI,알새우칩 과자 1봉지 후레쉬콘 샐러드 적당량 크래미아 마카로니샐러드 적당량 파슬리가루 적당량,알새우칩,40,옥수수콘,25,마카로니샐러드,25,파슬리가루,10,!EOL,,,,,,,,,,
멕시칸샐러드,255,1,b0VqL4-dSPM,양배추 1/4통(450g) 슬라이스 햄 50g 당근 50g식초 1큰술(10g) 설탕 1큰술(10g) 마요네즈 5큰술(70g) 꽃소금(절임용) 1큰술(10g) 생크림 2/3컵(120g) 후춧가루 적당량,양배추,30,슬라이스햄,30,당근,10,식초,10,생크림,10,마요네즈,10,소금,0,설탕,0,후추,0,!EOL
소시지케첩볶음,127,1,iNh_bXmYfgw,진간장 2큰술(20g) 황설탕 2큰술(20g) 케찹 4큰술(60g) 식초 1큰술(10g) 간생강 1/3큰술(5g) 비엔 소시지 250g 식용유 3큰술(20g) 마늘 10개(40g) 양파 1/2개(80g) 양송이 2개(50g) 파프리카 1/4개(80g) 당근 1/5개(20g) 후춧가루 적당량 깨소금 적당량,비엔나소시지,45,식초,5,마늘,5,양파,15,당근,10,케찹,20,설탕,0,식용유,0,간장,0,!EOL
깍두기,255,1,sRQxVQ5-NNA,무 4.5kg 꽃소금 2/3컵(90g) 설탕 2/3컵(90g) 밀가루 3큰술(30g) 물 2컵(360g) 대파 2컵(160g) 멸치액젓 ½컵(100g) 꽃소금 ¼컵(30g) 새우젓 2/3컵(140g)  마늘 1컵(150g) 간생강 ¼컵(30g) 설탕 1컵(140g) 고운고춧가루 1과1/2컵(120g) 굵은고춧가루 1과1/2컵(120g),무,45,멸치액젓,15,새우젓,15,밀가루,10,대파,15,소금,0,설탕,0,설탕,0,고춧가루,0,!EOL
